City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
hervey bay,-25.3,152.85,71.6,40,40,17.22,AU,1598495158
songea,-10.68,35.65,59.2,83,9,4.21,TZ,1598495258
kyaikkami,16.08,97.57,81.48,81,79,8.81,MM,1598495258
kapaa,22.08,-159.32,84.2,70,40,10.29,US,1598495259
boyolangu,-8.12,111.89,80.49,62,40,11.54,ID,1598495259
khatanga,71.97,102.5,64.13,52,1,5.08,RU,1598495044
olkusz,50.28,19.57,63.0,72,40,8.05,PL,1598495259
grindavik,63.84,-22.43,48.2,81,90,2.24,IS,1598495260
henties bay,-22.12,14.28,57.0,88,0,4.54,NA,1598495260
zarinsk,53.71,84.95,57.79,68,100,8.46,RU,1598495260
bluff,-46.6,168.33,45.0,72,90,11.01,NZ,1598495261
butaritari,3.07,172.79,82.24,68,2,3.13,KI,1598495261
chkalovskoye,44.84,133.04,77.74,79,100,2.95,RU,1598495261
bairiki,1.33,172.98,86.0,62,20,3.36,KI,1598495261
punta arenas,-53.15,-70.92,35.6,80,41,17.22,CL,1598495262
alofi,-19.06,-169.92,78.8,65,75,10.29,NU,1598495262
beringovskiy,63.05,179.32,51.94,81,42,13.31,RU,1598495262
carnarvon,-24.87,113.63,73.4,40,3,13.87,AU,1598495097
marawi,8.0,124.29,84.99,76,18,3.0,PH,1598495263
port hueneme,34.15,-119.2,73.0,88,1,14.99,US,1598495263
leningradskiy,69.38,178.42,40.57,83,95,6.78,RU,1598495264
port alfred,-33.59,26.89,57.97,75,64,20.11,ZA,1598495264
keningau,5.34,116.16,84.2,79,20,3.36,MY,1598495264
saint george,37.1,-113.58,100.4,12,1,11.41,US,1598495264
upernavik,72.79,-56.15,43.23,73,98,5.5,GL,1598495265
port elizabeth,-33.92,25.57,57.2,76,90,14.99,ZA,1598495125
poya,-21.35,165.15,73.85,51,10,14.9,NC,1598495265
barrow,71.29,-156.79,39.2,93,90,18.34,US,1598495265
san cristobal,7.77,-72.22,65.98,91,92,2.3,VE,1598494985
ulladulla,-35.35,150.47,64.99,25,0,14.99,AU,1598495266
yulara,-25.24,130.99,77.0,16,0,8.05,AU,1598495266
sao joao da barra,-21.64,-41.05,66.49,86,14,12.84,BR,1598495034
ambovombe,-25.17,46.08,69.73,76,59,2.84,MG,1598495267
vanimo,-2.67,141.3,86.63,60,79,7.2,PG,1598495267
hilo,19.73,-155.09,84.2,62,20,10.29,US,1598495008
manggar,-2.88,108.27,83.59,65,85,17.11,ID,1598495268
karratha,-20.74,116.85,91.45,18,0,13.85,AU,1598495268
clyde river,70.47,-68.59,46.4,75,40,6.93,CA,1598495268
richards bay,-28.78,32.04,60.28,65,96,2.1,ZA,1598495269
buala,-8.14,159.59,85.35,71,90,11.05,SB,1598495269
iquique,-20.22,-70.14,60.8,72,90,8.05,CL,1598495269
ketchikan,55.34,-131.65,60.8,77,75,5.82,US,1598495269
victoria,22.29,114.16,84.0,85,94,5.99,HK,1598495046
ancud,-41.87,-73.82,50.0,100,90,10.29,CL,1598495270
kodiak,57.79,-152.41,57.2,71,75,4.7,US,1598495037
springbok,-29.66,17.89,41.79,100,21,3.62,ZA,1598495270
avarua,-21.21,-159.78,77.0,61,77,4.7,CK,1598495271
andenes,69.31,16.12,44.6,87,100,10.29,NO,1598495271
nedjo,9.5,35.5,55.54,100,82,2.39,ET,1598495271
garowe,8.41,48.48,74.8,70,83,20.33,SO,1598495271
ankazoabo,-22.28,44.52,63.79,68,0,4.14,MG,1598495271
igbo ora,7.43,3.28,70.36,95,100,3.04,NG,1598495272
mandali,33.75,45.55,78.66,20,0,6.49,IQ,1598495272
turukhansk,65.82,87.98,59.54,75,100,6.93,RU,1598495272
calvinia,-31.47,19.78,43.54,71,0,0.65,ZA,1598495272
haines junction,60.75,-137.51,56.44,49,6,9.24,CA,1598495273
ruidoso,33.33,-105.67,75.0,27,1,11.41,US,1598495273
timizart,36.8,4.27,73.18,40,0,4.83,DZ,1598495273
banda aceh,5.56,95.32,82.72,69,91,3.0,ID,1598495273
hamilton,39.18,-84.53,82.0,74,1,5.82,US,1598494984
sinnamary,5.38,-52.95,79.68,83,87,6.22,GF,1598495274
bethel,41.37,-73.41,63.0,72,1,3.42,US,1598495274
lishui,28.46,119.91,86.34,65,55,1.7,CN,1598495275
sakaiminato,35.55,133.23,93.2,52,20,16.11,JP,1598495275
puerto ayora,-0.74,-90.35,66.0,92,90,3.0,EC,1598495276
alvdal,62.11,10.63,37.4,100,88,2.24,NO,1598495276
great bend,38.36,-98.76,82.0,51,1,10.29,US,1598495276
arraial do cabo,-22.97,-42.03,68.0,88,40,8.05,BR,1598495009
zhicheng,30.3,111.5,87.01,54,0,5.99,CN,1598495043
havoysund,71.0,24.66,42.8,75,40,17.22,NO,1598495277
muncar,-8.43,114.33,80.69,65,32,8.75,ID,1598495277
nizhniy odes,63.64,54.86,54.55,86,100,10.36,RU,1598495277
buchanan,5.88,-10.05,76.12,87,39,7.2,LR,1598495278
anadyr,64.75,177.48,53.01,87,75,4.47,RU,1598495278
tebingtinggi,3.33,99.16,81.97,74,100,1.83,ID,1598495278
yumen,40.28,97.2,63.7,29,13,15.88,CN,1598495278
zhigansk,66.77,123.37,54.77,41,79,1.77,RU,1598495279
mehamn,71.04,27.85,44.38,87,86,13.18,NO,1598495279
kerema,-7.96,145.78,81.72,75,64,7.58,PG,1598495279
bowen,-20.02,148.23,77.0,36,23,14.99,AU,1598495279
ceyranbatan,40.54,49.66,62.6,88,0,4.7,AZ,1598495280
sao filipe,14.9,-24.5,77.88,87,98,6.96,CV,1598495280
tuktoyaktuk,69.45,-133.04,42.8,87,75,16.11,CA,1598495183
cesvaine,56.97,26.32,54.39,96,99,5.03,LV,1598495280
mahebourg,-20.41,57.7,66.2,93,75,9.17,MU,1598495280
thompson,55.74,-97.86,55.4,82,90,4.7,CA,1598495281
busselton,-33.65,115.33,66.0,57,16,6.69,AU,1598495281
salalah,17.02,54.09,75.2,100,90,2.24,OM,1598495126
vila franca do campo,37.72,-25.43,75.2,94,75,10.29,PT,1598495281
cabo rojo,18.09,-67.15,80.01,91,12,1.01,PR,1598495282
saint-pierre,-21.34,55.48,68.0,60,75,8.05,RE,1598495282
gushikawa,26.35,127.87,84.2,79,90,8.05,JP,1598495282
mahon,39.89,4.27,73.4,94,0,4.7,ES,1598495282
jamestown,42.1,-79.24,66.99,93,75,5.82,US,1598495283
kysyl-syr,63.9,122.76,61.12,34,0,3.22,RU,1598495283
nantucket,41.28,-70.1,68.0,77,1,8.05,US,1598495092
pacific grove,36.62,-121.92,59.0,94,47,4.0,US,1598495059
port blair,11.67,92.75,83.88,71,12,9.33,IN,1598495283
severo-kurilsk,50.68,156.12,53.46,88,100,21.52,RU,1598495284
bulalacao,12.33,121.34,85.44,71,67,10.36,PH,1598495284
lagoa,39.05,-27.98,73.24,90,27,2.8,PT,1598495284
saldanha,-33.01,17.94,46.4,75,0,1.12,ZA,1598495285
soyo,-6.13,12.37,72.79,89,42,9.04,AO,1598495285
vaini,-21.2,-175.2,80.6,65,75,4.7,TO,1598495285
yining,29.04,114.56,86.4,59,0,1.74,CN,1598495285
rimavska sobota,48.38,20.02,58.84,76,0,5.91,SK,1598495286
egvekinot,66.32,-179.17,49.78,68,88,5.68,RU,1598495286
roma,43.21,-75.46,57.99,76,1,0.43,US,1598495286
vestmannaeyjar,63.44,-20.27,49.59,76,0,12.24,IS,1598495287
torzhok,57.04,34.96,47.75,89,100,3.44,RU,1598495287
mega,4.05,38.3,57.94,100,83,15.97,ET,1598495287
faanui,-16.48,-151.75,78.26,75,40,10.38,PF,1598495287
kuala sungai baru,2.36,102.04,82.4,83,20,5.82,MY,1598495288
ca mau,9.18,105.15,88.7,61,26,9.53,VN,1598495288
freeport,40.66,-73.58,75.0,49,75,8.05,US,1598495057
kodinsk,58.69,99.18,62.35,63,99,3.6,RU,1598495289
margosatubig,7.58,123.17,85.44,67,27,2.73,PH,1598495289
atasu,48.68,71.64,64.63,41,0,7.36,KZ,1598495289
kautokeino,69.01,23.04,38.55,81,97,10.29,NO,1598495290
tavda,58.04,65.27,52.93,97,11,4.27,RU,1598495290
eirunepe,-6.66,-69.87,74.82,55,3,1.99,BR,1598495290
longyearbyen,78.22,15.64,39.2,69,75,13.87,SJ,1598495291
llanes,43.42,-4.75,66.99,98,0,1.01,ES,1598495291
prainha,-1.8,-53.48,79.57,62,7,2.24,BR,1598495291
lerwick,60.15,-1.15,50.0,87,77,8.05,GB,1598495292
guerrero negro,27.98,-114.06,74.17,82,1,12.55,MX,1598495292
honiara,-9.43,159.95,91.4,59,40,18.34,SB,1598495292
koslan,63.46,48.9,57.36,97,100,3.89,RU,1598495292
ostersund,63.18,14.64,44.6,87,0,11.41,SE,1598495293
raga,8.46,25.68,68.63,96,19,1.95,SS,1598495293
yanji,42.91,129.51,73.0,89,100,10.07,CN,1598495293
umm lajj,25.02,37.27,82.99,70,97,4.32,SA,1598495293
souillac,-20.52,57.52,66.2,93,75,9.17,MU,1598495294
cherskiy,68.75,161.3,41.23,87,100,7.83,RU,1598495294
yar-sale,66.83,70.83,55.65,83,5,6.4,RU,1598495294
dhidhdhoo,6.88,73.1,82.22,73,100,12.55,MV,1598495158
udachnyy,66.42,112.4,64.17,35,97,3.91,RU,1598495295
russell,32.35,-85.2,82.4,83,1,4.21,US,1598495295
fort nelson,58.81,-122.7,66.2,55,75,3.36,CA,1598495295
jaroslaw,50.02,22.68,63.0,80,99,5.99,PL,1598495295
laguna,38.42,-121.42,87.8,41,1,9.17,US,1598495296
mae ramat,16.98,98.52,80.6,83,75,5.82,TH,1598495296
norman wells,65.28,-126.83,57.2,82,75,8.05,CA,1598495297
farah,32.5,62.5,57.67,44,0,5.06,AF,1598495297
plettenberg bay,-34.05,23.37,51.66,71,0,7.76,ZA,1598495233
wanning,18.8,110.4,87.4,69,92,9.98,CN,1598495298
ust-tsilma,65.44,52.15,56.61,90,100,11.81,RU,1598495298
maputo,-25.97,32.59,62.01,72,40,11.41,MZ,1598495299
luba,3.46,8.55,77.0,100,40,8.05,GQ,1598495299
vaitape,-16.52,-151.75,79.14,74,38,10.22,PF,1598495299
castro,-24.79,-50.01,50.47,87,0,3.85,BR,1598495299
sol-iletsk,51.16,54.99,66.51,56,16,3.2,RU,1598495300
sur,22.57,59.53,83.17,71,5,9.1,OM,1598495300
fortuna,40.6,-124.16,57.99,93,90,6.93,US,1598495300
saint-philippe,-21.36,55.77,68.0,60,75,8.05,RE,1598495301
uznach,47.22,8.98,57.99,76,7,4.0,CH,1598495301
high level,58.52,-117.14,60.8,77,75,4.7,CA,1598495301
tazovskiy,67.47,78.7,52.81,83,13,6.69,RU,1598495301
amahai,-3.33,128.92,81.86,75,66,10.47,ID,1598495302
kuusamo,65.97,29.18,46.4,93,90,5.82,FI,1598495302
teya,60.38,92.63,57.15,85,8,4.52,RU,1598495302
kavieng,-2.57,150.8,85.12,65,12,4.41,PG,1598495303
lyubytino,58.81,33.39,47.44,91,11,3.44,RU,1598495303
ofunato,39.07,141.72,86.0,70,75,8.05,JP,1598495303
basoko,1.24,23.62,71.17,92,100,1.7,CD,1598495303
nenagh,52.86,-8.2,57.2,87,94,9.17,IE,1598495304
venlo,51.37,6.17,57.99,93,93,6.11,NL,1598495304
nanortalik,60.14,-45.24,45.05,81,67,2.93,GL,1598495304
valparaiso,-33.04,-71.63,48.2,93,0,2.24,CL,1598495305
polewali,-3.43,119.34,86.65,53,12,2.84,ID,1598495305
shelburne,44.08,-80.2,64.0,93,90,2.24,CA,1598495091
sisimiut,66.94,-53.67,46.33,75,98,1.03,GL,1598495305
tabou,4.42,-7.35,75.22,84,100,6.42,CI,1598495306
college,64.86,-147.8,60.8,72,75,2.39,US,1598495306
ribeira grande,38.52,-28.7,73.76,90,43,5.32,PT,1598495307
mayor pablo lagerenza,-19.93,-60.77,83.28,35,0,8.99,PY,1598495307
nikolskoye,59.7,30.79,54.0,81,78,4.45,RU,1598495307
san antonio,29.42,-98.49,91.4,58,1,6.93,US,1598495137
vostok,46.49,135.88,74.48,57,100,2.1,RU,1598495308
prince rupert,54.32,-130.32,59.0,82,1,3.36,CA,1598495308
dvinskoy,62.15,45.12,53.51,97,100,3.38,RU,1598495298
marshall,34.38,-86.33,78.01,88,1,3.36,US,1598495309
lumsden,50.65,-104.87,71.01,45,20,8.05,CA,1598495309
price,39.6,-110.81,87.8,18,1,10.58,US,1598495031
basco,20.45,121.97,84.45,81,100,21.72,PH,1598495310
waterloo,43.47,-80.52,66.99,93,90,4.7,CA,1598495257
lebu,-37.62,-73.65,48.65,89,37,12.97,CL,1598495310
manono,-7.3,27.42,75.31,57,100,1.45,CD,1598495310
smithers,54.78,-127.17,57.2,71,20,6.93,CA,1598495311
isangel,-19.55,169.27,73.6,75,96,17.34,VU,1598495311
te anau,-45.42,167.72,47.73,68,20,2.64,NZ,1598495311
novaya igirma,57.13,103.91,65.7,44,91,3.78,RU,1598495311
hambantota,6.12,81.12,82.4,83,20,5.82,LK,1598495311
chaman,30.92,66.45,73.76,56,0,1.83,PK,1598495312
aklavik,68.22,-135.01,57.2,47,20,12.75,CA,1598495312
tessalit,20.2,1.01,87.33,38,0,3.76,ML,1598495312
port lincoln,-34.73,135.87,61.75,59,0,8.28,AU,1598495312
atar,20.52,-13.05,93.51,36,99,3.8,MR,1598495313
katete,-0.78,29.75,61.0,90,41,2.64,UG,1598495313
kismayo,-0.36,42.55,76.91,81,22,13.82,SO,1598495313
yegorlykskaya,46.57,40.66,64.6,52,94,5.84,RU,1598495313
norfolk,42.17,-71.25,64.99,48,94,14.99,US,1598495156
sitka,57.05,-135.33,57.2,82,75,10.29,US,1598495314
burnie,-41.07,145.92,55.99,65,86,11.01,AU,1598495314
mahajanga,-15.72,46.32,69.8,73,0,6.93,MG,1598495314
chervonohryhorivka,47.62,34.54,64.0,82,62,3.71,UA,1598495315
kopavogur,64.11,-21.91,50.0,66,90,4.7,IS,1598495270
finote selam,10.7,37.27,55.92,92,100,0.94,ET,1598495315
fairbanks,64.84,-147.72,60.8,77,75,2.33,US,1598495250
ilulissat,69.22,-51.1,42.8,60,0,6.4,GL,1598495315
hearst,49.68,-83.67,54.14,77,100,8.32,CA,1598495316
riyadh,24.69,46.72,80.6,26,100,4.7,SA,1598495316
labuhan,-6.88,112.21,82.17,60,53,6.91,ID,1598495316
minsk,53.9,27.57,57.2,100,75,4.47,BY,1598495316
menomonie,44.88,-91.92,75.2,73,1,7.63,US,1598495317
verkhnyaya inta,65.98,60.31,52.95,89,91,4.5,RU,1598495317
lapeer,43.05,-83.32,73.99,100,1,9.66,US,1598495317
cidreira,-30.18,-50.21,62.15,85,93,13.24,BR,1598495318
bolivar,37.61,-93.41,79.0,71,100,9.33,US,1598495318
ostrovnoy,68.05,39.51,51.4,94,99,7.34,RU,1598495318
kenora,49.82,-94.43,66.0,82,40,6.93,CA,1598495136
wuhu,31.34,118.38,84.2,66,40,4.47,CN,1598495319
tual,-5.67,132.75,79.9,82,25,20.98,ID,1598495319
nuristan,35.3,70.83,45.52,94,99,1.43,AF,1598495319
santa cruz,-17.8,-63.17,75.2,73,0,10.29,BO,1598495302
payo,-3.75,103.64,83.59,55,1,2.19,ID,1598495320
kupang,-10.17,123.58,91.4,36,20,25.28,ID,1598495320
conceicao da barra,-18.59,-39.73,67.96,83,1,8.77,BR,1598495320
whitehorse,60.72,-135.05,59.0,54,40,11.41,CA,1598495321
brae,60.4,-1.35,50.0,87,75,8.05,GB,1598495033
bathsheba,13.22,-59.52,80.6,88,75,8.05,BB,1598495321
kruisfontein,-34.0,24.73,57.0,72,27,4.0,ZA,1598495321
alaca,40.17,34.84,58.62,76,13,3.18,TR,1598495322
dingle,11.0,122.67,85.96,73,0,6.26,PH,1598495322
pevek,69.7,170.31,36.68,93,100,1.81,RU,1598495206
pangoa,-12.12,-73.0,69.94,79,62,2.62,PE,1598495323
vitim,59.45,112.56,62.44,37,38,5.46,RU,1598495323
pedasi,7.53,-80.03,78.19,77,84,12.44,PA,1598495323
naze,28.37,129.48,84.2,83,75,25.28,JP,1598495323
margate,51.38,1.39,62.01,82,100,1.99,GB,1598495324
edd,13.93,41.69,91.8,53,100,4.9,ER,1598495324
torbay,47.67,-52.73,62.01,93,75,21.92,CA,1598495324
talavera de la reina,39.96,-4.83,71.69,28,0,1.74,ES,1598495324
cherepanovo,54.22,83.38,55.76,85,42,10.69,RU,1598495325
mweka,-4.85,21.57,69.35,94,100,4.76,CD,1598495325
tomatlan,19.93,-105.25,77.9,89,88,3.91,MX,1598495325
strezhevoy,60.73,77.59,55.4,87,0,2.24,RU,1598495325
eatonton,33.33,-83.39,77.0,96,99,2.35,US,1598495326
visnes,59.36,5.22,57.2,76,92,20.8,NO,1598495326
edgewater,28.99,-80.9,82.4,94,40,6.93,US,1598495326
gardez,33.6,69.23,64.83,66,34,1.63,AF,1598495326
mayo,38.89,-76.51,79.0,65,1,4.7,US,1598495327
manlleu,42.0,2.28,68.0,93,0,0.54,ES,1598495327
maningrida,-12.07,134.27,88.27,26,0,13.49,AU,1598495327
airai,-8.93,125.41,71.91,52,51,8.55,TL,1598495327
belyy,55.84,32.94,50.88,92,50,6.71,RU,1598495328
araouane,18.9,-3.53,93.04,35,0,9.42,ML,1598495328
burns lake,54.23,-125.75,58.05,69,15,4.88,CA,1598495328
nhulunbuy,-12.23,136.77,86.0,51,20,16.11,AU,1598495328
pangnirtung,66.15,-65.71,45.01,78,66,1.05,CA,1598495328
copiapo,-27.37,-70.33,53.6,81,0,4.7,CL,1598495329
kaffrine,14.11,-15.55,76.21,91,100,6.49,SN,1598495329
chuy,-33.7,-53.46,61.0,91,100,6.22,UY,1598495329
matara,5.95,80.54,80.19,82,59,7.23,LK,1598495329
usolye-sibirskoye,52.75,103.65,60.37,80,100,9.35,RU,1598495330
benguela,-12.58,13.41,69.3,84,100,3.67,AO,1598495330
nyurba,63.28,118.33,60.6,40,0,0.56,RU,1598495330
port augusta,-32.5,137.77,71.6,28,0,12.75,AU,1598495330
houma,29.6,-90.72,82.0,88,1,13.87,US,1598495331
bengkulu,-3.8,102.27,82.17,66,0,5.17,ID,1598495331
deputatskiy,69.3,139.9,42.84,64,21,7.56,RU,1598495331
pipri,19.8,75.53,75.2,88,40,3.36,IN,1598495332
trat,12.5,102.5,87.8,70,20,9.17,TH,1598495332
axim,4.87,-2.24,73.67,92,48,5.66,GH,1598495332
ugoofaaru,5.67,73.0,83.03,69,100,11.54,MV,1598495333
samarai,-10.62,150.67,78.26,87,100,17.36,PG,1598495333
chokwe,-24.53,32.98,66.49,67,100,8.88,MZ,1598495333
vardo,70.37,31.11,48.06,82,94,18.48,NO,1598495333
rawson,-43.3,-65.1,49.14,80,89,8.43,AR,1598495334
evensk,61.95,159.23,56.21,54,92,15.9,RU,1598495334
rosetta,31.4,30.42,78.8,69,40,9.17,EG,1598495334
niono,14.25,-5.99,78.62,77,80,6.85,ML,1598495334
san patricio,19.22,-104.7,78.55,89,100,5.73,MX,1598495334
lompoc,34.64,-120.46,60.8,82,90,12.24,US,1598495335
peniche,39.36,-9.38,70.0,95,19,8.99,PT,1598495335
melioratorov,57.21,65.61,51.8,100,40,4.47,RU,1598495335
tokur,53.13,132.9,54.01,81,97,7.56,RU,1598495335
zabid,14.2,43.32,88.29,69,97,7.05,YE,1598495336
raudeberg,61.99,5.14,53.01,80,5,12.86,NO,1598495336
constitucion,-35.33,-72.42,48.94,90,2,5.77,CL,1598495328
glogow,51.66,16.08,62.01,76,100,4.0,PL,1598495336
rocha,-34.48,-54.33,64.36,96,100,7.25,UY,1598495337
lasa,46.62,10.7,53.6,76,5,4.7,IT,1598495337
chara,56.91,118.26,55.94,44,0,1.79,RU,1598495337
sanandaj,35.31,46.99,69.8,30,0,11.41,IR,1598495158
murygino,58.74,49.46,57.47,90,97,9.57,RU,1598495338
lithgow,-33.48,150.15,64.99,43,0,1.01,AU,1598495338
ponta do sol,32.67,-17.1,78.01,48,0,3.04,PT,1598495338
port macquarie,-31.43,152.92,69.01,40,13,1.99,AU,1598495154
kahului,20.89,-156.47,87.8,48,1,25.28,US,1598495045
aracuai,-16.85,-42.07,64.8,64,0,1.32,BR,1598495339
ciudad bolivar,8.12,-63.55,79.45,79,86,7.54,VE,1598495339
marzuq,14.4,46.47,75.29,60,100,7.18,YE,1598495339
vao,-22.67,167.48,66.81,68,78,20.07,NC,1598495340
ust-nera,64.57,143.2,47.55,53,3,4.59,RU,1598495340
utrecht,52.0,5.25,59.0,92,83,4.72,NL,1598495057
shaygino,57.77,46.86,57.61,93,68,10.18,RU,1598495340
lamar,33.67,-95.58,71.6,94,90,5.82,US,1598495341
eyl,7.98,49.82,76.73,73,100,19.28,SO,1598495341
tulu bolo,8.67,38.22,55.96,87,79,2.8,ET,1598495341
tautira,-17.73,-149.15,80.6,69,75,3.36,PF,1598495341
fukue,32.69,128.84,78.8,94,75,13.87,JP,1598495342
comodoro rivadavia,-45.87,-67.5,48.2,81,84,6.93,AR,1598495342
meulaboh,4.14,96.13,81.37,77,63,4.09,ID,1598495342
taltal,-25.4,-70.48,55.78,68,0,5.26,CL,1598495342
praia da vitoria,38.73,-27.07,75.2,88,20,6.4,PT,1598495343
floro,61.6,5.03,53.6,66,93,5.82,NO,1598495343
el reno,35.53,-97.95,79.0,69,1,17.22,US,1598495343
provideniya,64.38,-173.3,55.4,71,75,11.18,RU,1598495344
lodwar,3.12,35.6,80.13,55,0,19.53,KE,1598495344
esmeraldas,-19.76,-44.31,64.4,67,0,8.05,BR,1598495344
abu samrah,35.3,37.18,67.82,87,0,7.65,SY,1598495345
hofn,64.25,-15.21,49.73,87,0,6.33,IS,1598495345
rio gallegos,-51.62,-69.22,32.0,70,99,5.82,AR,1598495300
merauke,-8.47,140.33,81.16,72,93,18.16,ID,1598495345
ballina,-28.87,153.57,71.01,55,40,10.29,AU,1598495346
bani walid,31.76,13.99,69.12,88,0,4.9,LY,1598495346
palmares do sul,-30.26,-50.51,61.7,85,100,6.24,BR,1598495346
talaya,61.38,152.75,53.4,48,0,13.85,RU,1598495347
sorland,67.67,12.69,49.89,68,100,11.59,NO,1598495347
macusani,-14.08,-70.43,36.25,80,51,4.52,PE,1598495347
sompeta,18.93,84.6,79.97,79,100,9.71,IN,1598495347
gallup,35.53,-108.74,78.8,31,1,3.36,US,1598495227
ambilobe,-13.2,49.05,64.06,81,7,4.85,MG,1598495348
tiksi,71.69,128.87,44.76,64,0,8.05,RU,1598495348
koboko,3.41,30.96,61.77,95,44,3.44,UG,1598495349
santa pola,38.19,-0.57,75.99,83,0,3.36,ES,1598495349
mwene-ditu,-7.0,23.45,68.83,87,100,5.75,CD,1598495349
kuching,1.55,110.33,78.8,94,20,1.12,MY,1598495349
caravelas,-17.71,-39.25,71.11,81,12,10.65,BR,1598495349
port hardy,50.7,-127.42,60.8,77,40,5.82,CA,1598495350
mogadishu,2.04,45.34,76.39,82,99,14.52,SO,1598495350
ibra,22.69,58.53,81.41,66,0,2.44,OM,1598495350
muros,42.78,-9.06,66.99,96,36,3.0,ES,1598495350
san andres,12.58,-81.7,77.0,100,90,3.36,CO,1598495305
khonsa,27.02,95.57,76.23,78,79,0.67,IN,1598495351
powell river,49.85,-124.54,71.6,68,20,6.49,CA,1598495351
poum,-20.23,164.02,69.94,68,32,11.59,NC,1598495352
hihya,30.67,31.59,78.8,69,0,4.7,EG,1598495352
lincoln,40.8,-96.67,82.99,61,1,9.17,US,1598495352
tucuman,-26.82,-65.22,66.2,48,0,13.87,AR,1598495353
lavrentiya,65.58,-171.0,49.59,78,87,1.23,RU,1598495353
geraldton,-28.77,114.6,60.8,77,0,8.05,AU,1598495353
lufilufi,-13.87,-171.6,86.0,74,75,8.05,WS,1598495353
akdepe,42.06,59.38,60.8,59,0,4.7,TM,1598495354
carutapera,-1.2,-46.02,76.62,88,9,5.12,BR,1598495354
byron bay,-28.65,153.62,71.01,55,40,10.29,AU,1598495354
josefina,8.2,123.53,81.73,69,70,4.38,PH,1598495355
coquimbo,-29.95,-71.34,50.0,87,0,6.93,CL,1598495056
nemuro,43.32,145.57,78.8,78,40,9.17,JP,1598495355
namatanai,-3.67,152.43,84.58,71,61,4.7,PG,1598495356
tigil,57.8,158.67,48.33,91,100,10.42,RU,1598495356
yabrud,33.97,36.66,68.0,82,0,12.75,SY,1598495356
acarau,-2.89,-40.12,76.98,86,2,12.53,BR,1598495356
